HM1: Division,Comment
Community Care Division,In the main office we had a jigsaw that was on out of sight and on a unused worktop.  The jigsaw was done by all members of staff when they had breaks in their heavy and demanding workloads and would often dip into the jigsaw and gave us all a very small gap and relieved a bit of stress to carry on with the day.  After a recent inspection it was ordered to be removed as a member of staff was supposedly sitting on a chair doing the jigsaw and looked unprofessional.  I can categorically deny that anyone was sitting there as the worktop is too high and no one has that much time!  Considering this a mental health trust it really doesn't ask how staff are and what can help throughout the day.
Community Care Division,"In the past I have always felt included in changes proposed within my area of work however over the past 2 to 3 years this has significantly changed with little engagement from the senior leadership team in change management, I along with my team colleagues regularly comment on how we now feel ""done to"" rather than ""done with"".  This is causing a lot of unrest and anxiety to and resulting in staff looking for other jobs outside of this organisation.  It appears Mersey care are more interested in ticking boxes rather than individuals health and well being, for example on a personal level following S&A period after a very difficult [details removed] no return to work was conducted, however stage 1 of the S&A policy was invoked.  A more recent S&A episode resulted in a meeting for PDR scheduled before a return to work interview, whilst this may seem trivial to some as a previous seasoned operational manager I would say priorities appear to be somewhat questionable and may lead to feeling of the organisational priorities coming well before their employees well being.  Staff are moved to other areas without discussions leading to unrest and staff welfare only taken in to consideration once staff sides support has been requested."
Community Care Division,Inexperienced managers are making mistakes in the management of difficult personalities.  Views of staff ignored.  No changes after awaydays.  Some staff have stopped speaking out as it makes no difference.
Community Care Division,"It is disappointing that we are now being told that wearing uniform is mandatory - when working with children and young people in the community, a uniform can often be a barrier and can lead to dis-engagement.  It is a shame that engagement is lessening due to this barrier as some children and young people will refuse to be seen in college/school if in our uniform."
Community Care Division,"It is mostly a good place to work, however due to the service being so busy, it leaves little time or support for any development/support/mentor opportunities to secure a higher position, which makes me want to move on and apply for other positions."
Community Care Division,It is nice that my employers want to hear feedback from staff and will act on feedback received.  I am well supported in my role.
Community Care Division,"It is upsetting to be accused of 'complaining', when all you did was ask for help on a busy virtual ward.  It is unsafe practice, and I am sick of raising these issues only to be ignored."
Community Care Division,"It is very challenging at the moment as my staff are going through a consultation review, and it is very challenging, my staff our very unhappy about the new change in Job Description, and as much as I support them, the moral is very low, we do try and reassure them, but since we have merged with other services from Liverpool and Sefton, it has been a bit of a nightmare, as staff are unhappy about working across the Merseycare footprint."
Community Care Division,It would be better if each service helps each other rather than passing the buck.
Community Care Division,"It would be nice if years of service are recognised within the NHS and celebrated to help make the staff feel more valued.  Brother in law works for the fire Brigade and they put a big emphasis on this i.e. celebration for 20 years service, 30 years service etc."
Community Care Division,It would be nice to support and increase pay bands when a band 4 hits the top of the banding as trusts are now assessing workers on individuals experience.
Community Care Division,It wouldn't matter what I wrote Merseycare bosses stick together.
Community Care Division,"Its been very difficult over the last couple of years trying to adapt to constant ongoing changes to our service.  We have recently increased the amount of managers we have as part of transformational change, however this is impacting with having more work and less time to adjust to changes to how we work.  This has also increased the lack of communication with the amount of layers of managers to go through before getting a response and clear guidance if at all.  Quite a lot of new colleagues to the service are inexperienced and struggle trying to become familiar and learn in their new roll.  This impacts on the staff who are trying to do business as usual with no clear guidance support or answers to concerns they have.  There also seems to be a lack of following NICE guidance, we are being told its just guidance.  I cope with this by following guidance from my professional body to adhere to code of practice.  Most staff members just want to get on with their job and not have to constantly have to change how they do this, there is a lack of feeling stable with this constant change."
Community Care Division,"Job has become too KPI orientated not being family orientated.  I have had too work with [details removed] ([condition removed]) when I am [condition removed] because I was warned I would go to the next sickness stage!  I could hardly walk or get a shoe on.  I was racially abused by a client for being [ethnicity removed] when delivering health promotion.  I reported it to my manager who did not take it seriously because ""[ethnicity removed] people"" cant be racially abused!  .  I have a serious [condition removed] affecting my [details removed], well known to the team.  A team building day was made for a [details removed] automatically excluding me from the team building day!"
Community Care Division,Just over a year left to work.
Community Care Division,"Just to expand on the section around pay etc, I have recently learnt there are same band roles in other teams that do not/may not have the same level of responsibility I have, this I feel is inequitable for my self and the admin team I am Team Leader for.  I would also like to elaborate that the admin team I manage are the same banding as other admin teams again with less responsibility and I don't believe the pay scales are accurate or fair and should be reviewed across all services."
Community Care Division,Just too high expectations for number of patients to work with.
Community Care Division,"l have been health visitor for many years and I love my job.  I have always looked forward to going to work, and felt I made a difference.  However, in the past few years working to targets has really deteriorated the care and continuity that we give to our clients.  To meet these targets we often have to sacrifice good quality care.  For example, a health visitor will build up relationship with a mother over several visits then because of a 'target' further visits with that mother will be rescheduled with other staff members if the health visitor is on holiday/day off.  This can often affect the professionals/patients relationship for example, if a person was starting to feel comfortable with her health visitor she may be ready to disclose domestic violence or mental health issues but this bond can then so easily broken by a manager sending someone else to cover a non urgent visit just to meet a target.  Another example of this could be a routine birth visit which are targets say we must complete within 10 to 14 days-what is wrong with the health visitor the family now doing the birth visit on day 15 rather than somebody new having to do it within the 5 day time scale?  The midwife is still attending, it is non urgent.  Do the commissioners not want quality care?  .  My [family member removed] recently had a baby and their health visitor who they previously knew from antenatal contacts could not visit within the time scale before a weekend so they had to arrange for somebody else to visit.  The day my [family member removed] was given for this visit was the same day that they had the midwife visiting, they were attending the feeding clinic, and they were taking the baby for a hearing test.  My [family member removed] requested the visit be another day as they had so much on but the health visitor could not offer them another day and just changed their time to visit later.  I gathered that they were under pressure to visit before the weekend however doing so the visit was a complete waste of time as my [family member removed] and the baby were so tired from a busy day and they actually retained nil information from that visit.  Whereas a visit two days later would have been so much more beneficial.  I do not understand this and how this is supposed to benefit our service users.  I feel so sad that our profession is deteriorating so much and even sadder that it is affecting my own family."
Community Care Division,"Lack of engagement and involvement from managers regarding clinical staff (senior and non senior) involvement in pilots, new ways of working, development of team and service.  Staff request to be involved, requests ignored.  Feedback is not listened to or acted up on.  Lack of opportunities for staff involvement in service development, opportunity to raise concerns regarding what works well, what does not work so well, impact on patient care, and lack of action.  Staff do not feel listened to."
Community Care Division,Lack support via senior leadership and lack of awareness of our role.  Senior management will request us to complete additional tasks with no additional time which is not realistic.
Community Care Division,Leadership are very supportive in all aspects of work.  Team is positive and proactive.  Leadership have been VERY supportive to me personally regarding on-going social stressors at home.
Community Care Division,"Like other organisations, the trust needs to improve in areas, but they do strive to achieve this, it is important that they continue to listen to staff and service users.  The new executive will be a breath of fresh air."
Community Care Division,Limited opportunities for career progression/to complete university courses and further enhance knowledge and skills due to funding issues and short staffing.  Trust not pro active in supporting staff development.  Staffing levels in district nursing extremely poor.  Too much money spent in mental health services which is impacting on community services.  District nurses not appreciated enough for the imperative role they play in the community caring for end of life patients and witnessing emotional events/traumas for loved ones of families.  Mental health services highly praised within the organisation and not enough praise on community services in particular district nursing.  Not enough money put into district nursing services.
Community Care Division,"Line managers are promoted far too quickly, they have limited experience of the role let alone management, they are pulled into a role then fail to communicate with the teams, the hierarchy response system means staff have to raise issues with team leaders first so managers are never seen and unsure they ever hear about issues on the shop floor for staff.  Constant firefighting, no plans, too many priorities' then when you complain you are seen as trouble."
Community Care Division,Long standing staffing issues have been acknowledged and processes are now being put in place to address.
Community Care Division,Lots of changes in the organisation over the last year or 2 have made the job more difficult and creates burn out.  Changes are based around meeting targets and are not in the best interest of the patients.  This is wrong and demoralising.
Community Care Division,Loved the change from working at Alder Hey - fantastic organisation and [name removed] is just wonderful!
Community Care Division,"Main issue with my job is, we are always short staffed and expectations on DNs workload is increasing.  There is no maximum to the amount of patients referred to us so caseloads are getting bigger without extra staff to support.  Caseload in our area is getting bigger and more complex.  When there is a day were workload appears manageable staff are moved to help other teams therefore there is rarely an opportunity to catch up with non direct patient care."
Community Care Division,"Managers can often contradict each others narratives on practice and policy.  For example, KPI 's etc.  Difficulties within team environment and actions have not been followed up.  Professional capacity which results in no protected time for admin and poses risk for incidents.  Professionals in lower bands feel they are not acknowledged and decisions are always made by leadership.  Managers are not visible in the office and rarely engage with the team when passing etc.  Managers close office door and this often feels they are shut away from team.  Team canvas not been updated considering more than half of staff are new to service."
Community Care Division,"Many challenges with systems, duplication of reporting on multiple systems that don't communicate.  Challenges with core functions e.g. getting timely responses from HR."
Community Care Division,"MCFT is the best NHS trust I have worked for and it led by strong Exec Team who I have faith/trust has the best vision, plans, workstreams set for MCFT boroughs, families and services.  I am excited re: new much needed changes and developments, in particular MCFT Trusts commitment to supporting the most vulnerable complex families in our communities."
Community Care Division,"Mersey Care are the worst organisation I have worked for, they have staff working on unsafe staffing levels every day.  Staff are burnt out and ready to leave.  Mersey Care can't retain their staff."
Community Care Division,"Mersey care have been supportive to me throughout my employment here, I am enjoying working for Mersey care."
Community Care Division,"Mersey care is a trust that is only focused on meeting commissioned targets, the organisation does not value it's staff and there appears to be too many managers of B8 Who have no knowledge or skills of the staff they are managing and enforce working practices and SOPS that hamper the trained staff on completing there roles effectively.  Too much focus on supervision sessions and monitoring staff activity, rather then supporting staff to complete there roles or employing more staff to support services to work more effectively.  Mersey care does not care about staff, only about giving an outward appearance of being all singing and dancing without any merit."
Community Care Division,Mersey Care is all about mental health all the other departments i.e. childrens.  Adults are not thought about or given as much consideration.
Community Care Division,"Mersey Care is not a very nice or good company to work in.  I am not even sure its genuinely NHS or a private company who has paid the NHS for a contract to run a service.  I've come to understand Its very good at paying lip service to looking after people and making out it cares but its actions are very different.  You would have to work in it to truly understand what I mean and go through all the subtle and not so subtle behaviours of higher management and other colleagues and how you get treated.  We've been moved around so much and how now we've been all lumped together different departments all squashed in a small space the noise can be unbearable and make it impossible to concentrate on what you are doing.  The things you hear, the complaints the stress the anxiety the axe to grind the all too personal conversations the tone and upset in peoples voices not having a moments peace without someone talking no matter where you go - the building we are in is not fit for purpose and is very unpleasant to work in.  There's no safe space and there's is nowhere to go for a private conversation without risk being overheard there aren't enough rooms for private meetings and booking one has become are real trial.  I would like to see the person who decided that this was a good idea come and work where we do and suffer it day in and day out.  We must have 50 - 100 people walk past our desks every day, its sounds as if they are walking on a wooden floor an irritating creaking noise all the time.  Just think about that for a moment, every single day the noise of people walking up and down past where you work, conversations going on all around you complaining, hearing the sound of their voices the tone the harshness in the voice and then having to do your job at the same time dealing with patients how they can be complaining, upset.  And I think that's it - decisions being made and it not thought out how it will effect people - stick them all together save money on rent of all other buildings let them suffer and then have to leave and we will just get someone else.  This is only going to lead to low morale stress people going off sick - leading to poor patient service and complaints, I was told that higher management gave the okay for another department to use another departments desks if they needed to without asking that department!  The first they new about it was when it started happening - that could of lead to a row the consequences could of been ever lasting and the person who said it was okay would never of suffered for it other people would of."
Community Care Division,Mersey care need to concentrate on the services they currently provide and ensure they are working 100% before acquiring more companies as staff and patients are starting to suffer.
Community Care Division,"Mersey Care needs a better approach to work and home life balance not having fear at requesting flexible working hours with the threat you could be moved just because it fits the trusts' requirements of where another person is needed with in the trust, there should be more colleagues being able to do long days not just one person in a team that has the long days.  Waiting tools need to be looked at in regards to writing up/paper work needs to be added on to the waiting as writing up, care plans, schedules take time."
Community Care Division,"Mersey Care needs to concentrate on its existing portfolio rather than taking new services on - like care homes, which they cant staff and then disrupt established teams to poach staff to work in them - often out of their scope of practice."
Community Care Division,Mersey Care NHS Foundation Trust makes me feel supported through various ways.
Community Care Division,"Merseycare are an uncaring organisation.  It has become more of a business rather than a patient focused NHS.  Merseycare want staff over worked and pushed beyond their boundaries.  Staff moral is very low, staff have become very demotivated and looking for alternative jobs."
Community Care Division,"Merseycare do not care about the staff which is evident with the sickness policy.  This policy is disgusting for staff who work tirelessly for the patients in all weathers and all environments (community staff).  Staff are penalised for being sick and have to adhere to strict stages and the fear of losing your job, who is never sick in 12 months?  This causes more stress and anxiety with staff.  Community staff are just expected to use their own cars and although we get mileage back its not the same amount, the miles are reduced to what we actually travel and they expect staff to have copious amounts of equipment in their cars.  They do not pay for wear and tear on the vehicles either.  Staff morale is at an all time low.  I believe Mersey don't care need to focus on the services/buildings/staff they have before buying anymore that cannot be run/staff."
Community Care Division,Merseycare is a great organisation to work for.  It is very supportive of its staff and does its best to learn from any mistakes.  It does ask quite a bit at times and this can be quite stressful.  All in all a good employer.
Community Care Division,Merseycare when it comes down to it is more interested in its own reputation and survival than it is in users.  I hope this will change with the new chief executive.
Community Care Division,Micro managing can be counter productive as increases stress for staff and thus increases sickness.
Community Care Division,"Middle management will not consider flexible working as there are not enough staff to in teams to provide the service.  The budget is more important than patients.  Staff are punished and penalised if there is a waiting list yet they are working hard and their pleas for more staff are ignored because of the budget.  There are gaps in service provision where the Commissioners have not considered Physiotherapy for Learning Disability pts in South Sefton, Merseyside."
Community Care Division,"More recognition, more support, more staff, better wages."
Community Care Division,More staff are needed to do our jobs effectively.  We are not robots and burnout is rife amongst the trust.  You can see this in the sickness rates and staff turnover.
Community Care Division,More staff would be number one but most of the time we just have to get on with it.
Community Care Division,"MSC demand a high standard which if good.  However the expectations of how long task / plans etc take to implement is unrealistic.  This leaves staff running about in their own time regularly, feeling as it they are not effective enough Mandatory training rains in without warning because MSC wants something doing, having moved most to online putting the onus and all the pressure on staff for not completing, so often staff do in their family time.  While not considering the time these modules take to complete and the impact of poorly designed packages and failing IT server issues on clinical time / pressures.  Then MSC harp on about work life balance.  It bit more consideration and clear honest look at 1 element MT and how long this takes to complete may ensure senior managers plan more efficiently."
Community Care Division,Mt team and manager are very supportive and fair and a pleasure to work with.  I had an incident with some offensive and sexually inappropriate behaviour from a patient and my manager supported me so well however I felt the way the issue was dealt with by Mersey Care was not sufficient or supportive.  I was unable to access health and wellbeing services in an appropriate way that would fit round my job role and have had no further input from them which was disappointing.
Community Care Division,"My answers are in relation to other partners such as LA, not just MCFT."
Community Care Division,My current line manager and team manager at the time of this survey are supportive when I raise work pressures and time constraints.  This varies between different team managers and line managers.  There has been a huge increase in level of need with Speech and Language amongst children and this is very difficult to manage without more staff and in fact being understaffed.
Community Care Division,"My current team are amalgamating with other teams at present, it is a period of unsettled feelings and also whether funding will be approved for another year, I am concerned about placements I would be offered if funding was not approved.  Presently I still feel like we are working in as individual teams rather than a team as a whole."
Community Care Division,"My direct line manager is amazing and is one of the only reasons I remain in my current role.  They are beyond supportive and I feel they are an excellent manager.  I have previously been burnt out and had time off for this.  I did not feel ready to come back, but had no choice but to do so.  My manager has been as supportive as possible, but I feel I am already reaching burnout again.  We are understaffed, underpaid and underappreciated.  We are put in situations we shouldn't have to go into and we are expected to go into palliative dying patients and have no support following deaths, we are just expected to carry on and go to the next patient.  There is no facility to have an outlet for issues we are experiencing at work in terms of having monthly meetings with a registered mental health professional to debrief on the situations we deal with.  The counselling provided through occupational health is not beneficial and I found it did not help me at all.  In our team we have a multitude of issues with regards to parking, with staff regularly having to pay out to park to see patients and/or getting fines.  This increases overall negativity and stress.  I feel stressed at work, but we don't receive enough pay for what we do and more and more expectations are put on us.  I have a lease vehicle and feel it is actually an extortionate amount for a vehicle.  I feel we are not considered as community staff who have to travel for work so our mileage has to be higher, in comparison to colleagues who just commute to and from work.  I like my team, but I live 15 miles away from base and the amount spent on petrol is just increasing.  The morale overall is shocking, we cannot retain staff and the boundaries different teams cover need to be established as it is stressful trying to handover out of area patients, with other teams refusing even though they have patients on their caseloads in that area."
Community Care Division,"My flexible working application was rejected on the base that I don't have kids below 6 years old when was accepted for others who does have kids older then 6 years old - discrimination.  Rotation is not implemented, some people can work from home and some not - issue raised multiple times but not actioned.  Lack of appropriate desks and chairs - have to sit b broken table and armchair - MSK issues - raised with management multiple times - no action.  Management is dismissal and doesn't listen concerns and doesn't consult decisions with team members."
Community Care Division,"My HR27 is frequently not adhered to, I am told if I have annual leave I forfeit my working from home day (although this day is due to my disability). My work pace does not make reasonable adjustments re my disability, I am advised if I have dizziness episodes then I have to go off sick, instead of being able to work from home, as it is part of my disease.  I do not feel valued by my management team, despite the fact I can be left alone every week currently due to short staffing, on the day they suggested I work from home.  I waited months for a written HR27 to be put in place.  Our management are obstructive and unapproachable.  They denied us the right to go to panel to put our case for a band 3, so a grievance had to go in, which we won, but now they are dragging their heels about us going to panel.  This has been going on for years."
Community Care Division,"My immediate manager is fantastic [name removed] takes initiative to ensure the team they are working with are well both physically and mentally, using there time effectively to ensure we are all able to speak to them when we need, ensuring we are all okay and feel valued within the team.  [name removed] is the manager we all go to and the reason many SPOA staff are still working with the team."
Community Care Division,"My immediate team is great and very supportive, however senior management and the trust are less supportive and we feel like just a number to cover shifts rather than actual people.  We feel listened to but rarely do we feel we have had our concerns acted upon and we're just listened to to placate us.  I would recommend to work with my team and for family to come to where I work however I would not recommend the organisation as an employer.  I have had external training opportunities declined numerous times and feel like there isn't the support for growth in my job in terms of learning and training to enable me to be confident in my knowledge to stay up to date on developments and guidelines for my role."
Community Care Division,"My job has improved over the past 6 months, I feel this is due to new manager who is very supportive.  The survey does not capture change in management that can either have a negative or effect on our job roles.  If new manager was not in post my answers would have been very different and less positive.  I would suggest questions regarding new management to capture this information."
Community Care Division,"My line manager is wonderful but their hands are tied by management with any issues we have.  Long term absences are not covered by Bank or Agency staff, even during annual leave!  My job has been made even harder during and after COVID with staff working from home, it added extra work because they were not in the office to deal with it themselves.  It is harder to contact staff via phone or email.  It can take several calls to different member's of staff in one organisation to make contact, if at all.  And it is the same with emails.  There was a proposal recently for staff to return to the office, but it is at managers discretion, so not much has changed."
Community Care Division,"My manager who sits under the community Service in South Sefton does not know how to support  staff that has neuro-diverse brain; they have received some work place training and whilst initially, it was being met with understanding, it became apparent that management were not willing to meet accommodations in practice - it was all just written down in a piece of paper but never really supported.  I have a fantastic colleagues and our Trust is great but we have an unreliable line manager, where they change their statements, they don't do what they say they do, and they see feedback as a threat and take things personally.  In turn, the team morale is low in general and those who has neuro diverse brain were covertly discriminated."
Community Care Division,"My only worry at the moment is there is a chance our service might be coming to an end in [date removed], this is a big worry for me and adds stress to my life as I worry what the future may hold.  I also am a carer so work some days from home, I worry if I need to find a new job going forward I might not have the option to work from home and I don't know how I would be able to manage this."
Community Care Division,My organisation is strongly focused on reporting which takes a great deal of time away from direct patient care on a daily basis.  The organisation is introducing a vast amount of changes which is hard to keep up with.  Several Pilot schemes have been introduced within my team without any prior information being disseminated or a discussion from/with the senior managers.
Community Care Division,My primary concern is that there doesn't seem to be any kind of forward planning to address issues that are or are likely to occur.  There is a tendency to let situations develop and deal with the fallout rather than having potential solutions in place.  Recruitment seems to take an interminable amount of time to resolve.  We have a post that was vacated 17 months ago and still has not been filled with a permanent appointment.
Community Care Division,My team and manager are fantastic- if it wasn't from outside pressures of other teams/levels of safeguarding I would not consider moving job roles.
Community Care Division,My team has recently joined with other services so will have a new management structure going forward.  The information provided is generally about my pervious small team.  Unsure yet it things will be as good in the future.  Hopefully they will.
Community Care Division,My team is classed as being fully staffed but the team is running at full capacity day in and day out.  The majority of staff are still on EMIS catching up on documentation in the evenings as even the band [number removed] take a list of visits on a high weighting.  It feels unsafe and it feels as though patients are not getting thorough assessments.  Incidents happen and quite often the reason behind them is lack of staff but nothing seems to change.  The quota for staff seems dated but the complexity of patients and the diversity of the area that we cover is very demanding.  I feel that if staff and patients were valued then staffing levels would be increased to ensure that patient centred care could be carried out.
Community Care Division,My team is extremely micromanaged which often makes the job challenging at times.
Community Care Division,My team is very supportive and welcoming.
Community Care Division,Negative comments that have been made in this are in relation to my previous job at another NHS Trust.
Community Care Division,Nepotism is a culture here.  As is poor behaviour - bullying / micromanagement and obsession with assurance to tick meaningless boxes of nonsense - real issues are not dealt with.  We state we support flexible working - yet have very senior managers openly stating 'it is frowned upon here' and life is made as hard as possible for anyone who has a flexible arrangement.  I rarely get any supervision and have not had a PACE review for over 4 years.  My manager is too bust trying to please his own manager - and the limited time we every gt is wasted by him looking at his watch and phone continually.  This is not helpful or supportive.
Community Care Division,NHS management needs to stop continuously attempting to increase the staff work load.  If demands on services are increasing then this should be managed by increasing staffing.  We are continuously being informed that managers are scrutinising your diaries and that we are expected to see a minimum number of patients every day regardless of patient complexity.  Without completing admin outside of work hours it is impossible to maintain a case load.  Support services are disappearing resulting in increasing numbers of complex patients with social problems or safeguarding issues being routinely referred to the service.  Management focus on waiting lists can never be resolved by increasing pressure on existing staff or without investing in new staff and retaining existing staff.  I have worked in the NHS for over [number removed] years and have never witnessed such a hollowed out and demoralised NHS as exists now.
Community Care Division,"NHS should focus on giving opportunity to individuals that are good, want to develop, and will make NHS and the patient happy.  Not focusing solely on the DEI project."
Community Care Division,"No communication, emails and queries unanswered.  Lack of support.  Lots of negativity."
Community Care Division,"No continuity with leadership teams, too many management changes, too frequently which impacts on creating a cohesive teams.  Listening to other Mersey care colleagues who verbalise lack of support, increased work loads and not listened to."
Community Care Division,No further comments thanks.
Community Care Division,No I am happy with working condition at the moment.
Community Care Division,"None at present, We have a new amazing Team leader at present."
Community Care Division,Nursing has changed so much over the years- I have been a nurse for many years and used to love my job.  Policies have taken over nurses using their own clinical judgement and I feel newly qualified staff have a fear of everything and feel they have to do absolutely everything in one consultation with their patients for fear of missing something and being penalised- I feel this will lead to burn out at a much earlier age as they all appear so stressed.
Community Care Division,Ongoing issues with staffing which means extra work for us on top of our caseload.  Very frequent staff sickness which I feel sometimes some colleagues can take very last minute sickness and possibly abuse the sickness system- taking sickness when not necessary suitable to e.g. childcare issues whilst other members of staff go above and beyond to ensure this is not an issue and are more committed to their role.
Community Care Division,Opportunity for home working would greatly improve my work-life balance.
Community Care Division,Our pay is crap.
Community Care Division,Our team would be better able to support our patients if we had more permanent staff and did not have to rely on bank staff.
Community Care Division,"Over the last year the service has changed and working hours, this had a massive impact on myself due to childcare responsibility's.  I personally felt that although the trust said you don't have to change your hours, that was not genuine.  We were put through multiple meetings with senior managers and told we had to be flexible and questioned on family dynamics and why we couldn't comply with change of working hours.  Given dates from senior mangers when I would have an answer to flexible working request for them not to reply by this deadline and me have to chase them for a response.  I spent months thinking I would have to leave a job that I love as was unable to comply with change of hours as no childcare.  I feel as a mental health trust the communication has been terrible and not caring about there staff one bit."
Community Care Division,Over the years the bar has been gradually lowered and the standard required at each band has drastically lowered resulting in large discrepancies in nursing care.  More priority is put on certificates gained rather than relevant and appropriate experience for the role.  This is evident at every level within the service.
Community Care Division,"Over worked short staffed under valued and community district nursing needs investment and a revamp for it to carry on being fit for purpose in the future to carry on looking after a more complex ageing community, and staff working with out getting dinner breaks and proper rest periods."
Community Care Division,"Overall a good place to work, only negatives is financial.  The clinics have poor equipment and wage is poor.  Supportive colleagues and management.  Flexible working is a bonus.  Workload seems to be increasing, documentation wise, put more a strain on the job it's self."
Community Care Division,"Overall.  Really like working for my team and the wider Mersey Care.  I have liked working in my team from day 1, which was 7 years ago."
Community Care Division,People with disabilities are not treated reasonably or equitably and the Trust is enrolled as a Disability Friendly Trust.
Community Care Division,Phlebotomy seem to be forgotten about as not even listed on the job roles and often feel ignored and undervalued.
Community Care Division,Please allow flexible working e.g. work from home.
Community Care Division,"Please can the sickness policy be reviewed, it does not promote being off ill when needed.  When on a stage, you feel forced to come into work if you are unwell.  Could the days of sickness not be calculated over your entire employed time with the Trust, not over the last year?  It can be very stressful knowing if your unwell you will be escalated to the next stage, when you are genuinely unwell."
Community Care Division,"Please implement e health roster so we can see our shifts.  Please make longer timeslots for patients so we don't rush, ESP for new patients onboarding."
Community Care Division,Podiatry are sometimes not considered as a high profile department.  I think this is very sad.  The team work together and support each other.  The culture of care towards each other and our patients is very evident.  I [details removed] soon and will miss everyone.
Community Care Division,Poor leadership.  Not able to speak up.  Challenging.  Not listened to.  Very defensive.
Community Care Division,"Poor staffing in other areas impacts upon areas where staffing is good which in turn causes an impact to the services that have the appropriate staff to do their work.  The constant request for staff from our service affects the staffing in our team which increases stress, impacts our KPI, effects the service service provision and prevents us from achieving set targets."
Community Care Division,"Pressure of workload, demands for managerial, clinical and professional duties can be difficult to manage some days."
Community Care Division,"PSIRF and all the associated paperwork is clogging up valuable clinical time which would be better served with patients.  Experienced clinicians are processing RADARs, undertaking reviews then reviewing reviews.  It is a cumbersome process involving a multitude of personnel who would be better served treating patients and being available in their departments.  Nobody is questioning the value of patient safety but recently it has become unmanageable and is having a detrimental effect on staff morale."
Community Care Division,Pt lists can be very busy were we do not have time for dinner very stressful.
Community Care Division,Questions about managers have been answered in relation to my direct manager/line manager not senior management i.e. band 8 manager as most of my negative comments are in relation to these managers.
Community Care Division,"Same comments every year.  Nothing changes.  No progression unless friends with senior managers.  Interview's often unfair in that they already know who is getting the job.  Or, in my case; didn't get the job because a newly qualified middle aged person could remember policies off the top of their head, whereas, I and menopausal and struggled with that.  Never mind the fact that quoting policies is rote learning, rather than genuine understanding of policies and how to use them.  10 years of doing my job well has led to nothing but disappointment and now genuine apathy."
Community Care Division,"Same issues never resolved within the team.  Under staffed constantly, relying on bank and historically agency to stay afloat.  Very complex patients.  Escalating for more than 3 years the same concerns to operational managers yet we are still struggling with no sign of improvement.  Staff retention is poor due to working conditions in this trust within District Nursing.  Operational managers with no District Nursing background overseeing the service when they don't understand the sheer amount of extra work we put in."
Community Care Division,School health is never listed as a choice in registered nurses.
Community Care Division,"Senior management make decisions about organisational changes which directly affect my role.  They will often invite us to meetings but job pressures occasionally prevent attendance.  Decisions are often made despite our objections.  Senior management continue to expand the organisation by taking on roles from other organisations, without adequately assessing the impact this will have on the staff whom are expected to undertake those roles."
Community Care Division,Senior management within the NHS Talking therapies team leadership approach has been extremely poor with regards to their communication towards the team during several meetings this year.  There is a top down do as I say approach which is damaging morale and leading to widespread distrust.  This type of leadership style will result in staff leaving and it is no surprise that there are significant staff vacancies.  I do not believe that their communication aligns with the trust values in the few times they have been present in staff meetings.  There is a tunnel vision approach to achieving 50% recovery.  I would remind leadership that reliable improvement scores make a substantial difference to the day to day lives of many of our clients.
Community Care Division,Senior managers are out of touch about the needs of the patients - too focused on numbers.
Community Care Division,"Sickness rules are not the same for everyone, lateness is not treated the same for everyone, some people make time up some people come and go as they please.  Holiday entitlement is not treated fairly, some staff work from home in emergency and some staff won't as they refuse to even though they have equipment at home."
Community Care Division,"Since we have had a new management structure, we now have a Operational Service Manager and Professional Lead whereas before we had a Clinical Lead who was my line manager and provided me with regular clinical supervision.  This means I do not have regular clinical supervision and my line manager is not from my own profession.  The suggested resolution to this is to do peer supervision which is not always adequate or appropriate."
Community Care Division,"So many more expectations / training to complete e.g. higher risk management expectations, rather than refer to secondary for their input."
Community Care Division,"Social Work is undervalued within this Organisation and we are a vital cog in the discharge wheel.  We lead and guide our health colleagues and the team do often feel their work is unrecognised.  There is no ability for team leaders to progress to Band 8A level other than moving to a different area of work outside social work, this has been sanctioned by senior managers.  It is often sole destroying to witness the increase in operational management when SW are left behind regardless of the heavy workload which is wrapped around with Legislation and law."
