HM1: Division,Comment
Community Care Division,Currently happy in my role.
Community Care Division,"Currently I am clear on what my responsibilities are, although this can change sometimes.  I feel because my role is split, Senior Admin Support and Admin Team Leader, I cannot dedicate my time fully to both.  When applying and accepting my role, it was advertised as ""Senior Administrator"", and this is what is on my Employment Contract.  I do not feel it was clear that my role would be split.  My Job Description states no mention of managing staff within different teams or different localities.  I currently manage six staff across Liverpool and Sefton Place."
Community Care Division,Currently[timeframe and condition removed] and totally anxious.  I have[details removed] previous and this is my [details removed] and first baby.  I am only mentioning this because I can't thank my manager enough for the help and support they have given me in returning to work from a period of morning sickness and constant worry/anxiety around this pregnancy.  Occupational health  was also amazing and really helpful but my manager has been amazing.
Community Care Division,Decision makers need to listen to clinicians rather than just say ridiculous comments like patients can book their own appointments online as their [family member removed] can do it and they are [age removed]!
Community Care Division,"Difficult survey to complete due to situation of admin staff being under an admin management hub and no longer under the management of the team they work for - this is causing frustration, resentment, stress, and feelings of being under valued.  Removal of admin staff from their clinical colleagues in services where they work together closely is causing admin staff to feel demotivated, disengaged and separated from their clinical counterparts and the collective ethos of the service.  It is also disorganised, inefficient, impractical and frustrating way to work.  Decisions and opinions are made externally without the input of the staff from the service either clinical or admin which has bearing on the operational running of the department but without any knowledge - leaving staff to pick up the pieces and seek out work around solutions which is time wasting and exhausting.  Admin staff have also now been denied the opportunities of flexible working and told must be office based 5 days a week regardless of job role - when seeking clarity over this have been told that it does not work and it is 'the directive from above' - which has caused feeling of resentment, undermining and under-valued."
Community Care Division,District nursing is for housebound patients but staff think it would be helpful for my organisation to employ doctors for staff to seek medical advice when unwell as they may not get to see or have available appointments the same day.
Community Care Division,"Due to management restructure and an obsessive focus on KPIs, staff at every grade are feeling more and more pressures on their time.  Band 7's are being forced to spend more time on non-clinical activities pushing pressure further down the line.  Staff morale is low, good staff are leaving due to this.  Staff also leaving due to no career progression opportunities as Band 7 roles which are being vacated are not being replaced.  It doesn't really feel like a nice place to work anymore."
Community Care Division,Earlier this year l asked if l could retire and return as l had given[timeframe removed] of service to the NHS.  This was refused on the grounds of needing staff to cover the hours that l worked.  This was particularly irritating to me because of a number of staff in the team who have been allowed to retire and return.  These are all trained staff who been awarded the consideration of retiring and returning.  l feel l have not been awarded the same consideration as the trained staff in the team.  Very ageist decision as far as l am concerned.  General staff feel under pressure and under valued by managerial staff particularly the grade 8 staff who are neither use nor ornament to the real workers.
Community Care Division,Easier access to equipment when faulty such as laptops.  Manager is very helpful and supportive - Good practice is encouraged fully.  More adequate staffing.
Community Care Division,"Excessive and increasing workload - not achievable, increasing stress levels and staff morale very low, staff regularly working through lunch and after hours.  Feeling micro-managed rather than supported.  KPI focused.  Documentation exorbitant and repetitive.  Not feeling listened to.  Clerical support has declined since clerks are not based in offices."
Community Care Division,Fantastic supportive manager absolutely divine role.
Community Care Division,"Far too many new ways of working/pilots introduced into teams.  Unsafe to introduce so many pilots together.  Staffing levels are not reflected/increased when extra work is put on to teams.  Very poor visible presence from Senior Leads 8B and above, despite requests for support from Teams.  Definitely looking to move elsewhere within the NHS."
Community Care Division,"Feel that service mergers/changes for example for services now covering wider catchment area there is reduced quality of service/more pressure on clinical staff/room for error e.g.  For cases whereby they have not seen the same member of staff more than once for follow-up reviews especially in urgent care community setting.  Overall, feel that there is uncertainty regarding roles/service changes which impacts on staff morale and wellbeing and has meant that staff have moved roles due to this causing more pressure on staff left within teams."
Community Care Division,"Feel under valued, under paid and under appreciated in our roles.  We all need to be taught the basics BSL which has been asked numerous times throughout the years especially COVID times as we were wearing masks and removing them to speak, its common courtesy.  There are a lot of flaws in this system."
Community Care Division,"Feel well supported by my line manager and in my immediate team.  However do not feel well supported by higher management that has been reduced so that they cover more teams than previously.  Can see that more is being put onto the Band 7 level of staff adding to their stress and reducing their clinical time with patients.  Band 7 opportunities are being lost as when a band 7 job becomes available it is being down graded to band 6.  This has already resulted in the loss of a fabulous Band 6 clinician that has left the organisation due to being told there will be no opportunity for her to progress.  Feel that the skills, expertise and loyalty of experienced band 6 staff is very much being taken for granted.  We are expected to the bulk of clinical visits but also more being asked of us as more demands made on Band 7 time."
Community Care Division,Flexible working is not available within our team unless that means wanting to reduce working days or hours.  Working from home is not an option unless you have an appointment it is not built into our working lives to help us have a better work life balance as mentioned in the flexible and hybrid working policy.
Community Care Division,For a primarily mental heath organisation.  Your attitude towards staff with mental health problems is very poor.
